cell_id,k_requested,op_set,formula,variant,seed,max_time,protocol,train_bound,test_bound,wall_clock_s,n_generations,total_evals,best_fitness,r2_train,r2_test,solution_recovered,recovered_sympy,n_total_dags,n_unique_canonical,n_skipped,rf_search_trajectory
103,22,poly,-x_0**2*x_1*(x_0 + x_1) + x_0*x_1*(x_0*x_1 + x_0),isalsr,10342,60.0,extrap,0.7,1.2,11.621204611001303,90,118223,1.927329746937424e-34,1.0,1.0,True,x_0*(-1.0*x_0**2*x_1 + 1.0*x_0*x_1),18290,10836,7454,1.687892211148025
103,22,poly,-x_0**2*x_1*(x_0 + x_1) + x_0*x_1*(x_0*x_1 + x_0),isalsr,10343,60.0,extrap,0.7,1.2,4.990753197000231,50,47128,2.4671984824591837e-23,1.0,1.0,False,0,10250,6064,4186,1.6903034300791557
104,22,poly_trig,-x_0**2*sin(x_2)*sin(sin(x_0*x_1 - x_0 + x_1 + cos(x_0)))*cos(x_1 + cos(x_0)),baseline,10442,60.0,extrap,0.7,1.2,58.818209897001,1694,2578579,7.225916782370448e-05,0.9567460796799776,0.5419627467802204,False,0.826189*x_0**2*x_2*(cos(x_0 + 2*x_1 + cos(x_1) + 924.205848) + 0.568133)*sin(x_0),2578579,2578579,0,1.0
104,22,poly_trig,-x_0**2*sin(x_2)*sin(sin(x_0*x_1 - x_0 + x_1 + cos(x_0)))*cos(x_1 + cos(x_0)),baseline,10443,60.0,extrap,0.7,1.2,58.79468239900052,1876,2401664,1.9973698862934557e-05,0.9811642987370728,0.5193281828852433,False,0.79696*(x_0**2*x_2*(0.780515 - x_1) + 0.000175)*cos(x_0**2 + x_0 - x_1 + 1335.69992),2401664,2401664,0,1.0
104,22,poly_trig,-x_0**2*sin(x_2)*sin(sin(x_0*x_1 - x_0 + x_1 + cos(x_0)))*cos(x_1 + cos(x_0)),isalsr,10442,60.0,extrap,0.7,1.2,58.687991394001074,466,366359,0.00013375348510299062,0.9199359366926977,0.7219393237129791,False,-0.257944*x_0*x_2*(x_0 + x_1 - 4.112009*cos(x_0 + 3075.642162) - 3.070042) + 0.257944*x_0*x_2,93866,52707,41159,1.7809019674806004
104,22,poly_trig,-x_0**2*sin(x_2)*sin(sin(x_0*x_1 - x_0 + x_1 + cos(x_0)))*cos(x_1 + cos(x_0)),isalsr,10443,60.0,extrap,0.7,1.2,58.97357187700072,389,346910,8.798489654903891e-05,0.9170280257843153,0.5346865616584119,False,x_2*(x_0 - x_1*(1.067583*x_0 + 0.264935667612) - sin(sin(x_0 - x_1*(1.067583*x_0 + 0.264935667612) + 863120.97446)) - 0.209553000051528),78389,44583,33806,1.7582710898773075
105,26,poly_trig,sin(sin(sin(cos(x_0**2 + cos(sin(cos(x_0)))) - cos(sin(x_1*cos(x_1 + cos(x_0)))) + cos(cos(cos(x_1)))))),baseline,10542,60.0,extrap,0.7,1.2,58.85961501700149,1718,2683878,4.481522698862933e-05,0.9958643471667487,0.8561653351285043,False,-1.110182*x_1 + 1.110182*(6.02488500066102 - cos(cos(x_0)))*(sin(cos(x_0)) + cos(cos(x_0)) + 1.36925799958408) + 1.096158180976*sin(x_1) - 16.221093458764,2683878,2683878,0,1.0
105,26,poly_trig,sin(sin(sin(cos(x_0**2 + cos(sin(cos(x_0)))) - cos(sin(x_1*cos(x_1 + cos(x_0)))) + cos(cos(cos(x_1)))))),baseline,10543,60.0,extrap,0.7,1.2,58.80840878699928,1730,2692984,2.046329296543073e-05,0.9983055229958809,0.6595920594909911,False,2.125852*cos(cos(-x_1 + sin(x_1) + sin(-x_1 + sin(x_1) + cos(x_0)) + cos(x_0) + 1344.682831) - 1036.095205) - 1.505460359136,2692984,2692984,0,1.0
105,26,poly_trig,sin(sin(sin(cos(x_0**2 + cos(sin(cos(x_0)))) - cos(sin(x_1*cos(x_1 + cos(x_0)))) + cos(cos(cos(x_1)))))),isalsr,10542,60.0,extrap,0.7,1.2,58.86435644199992,446,409012,3.645488916937909e-05,0.9966358584836029,0.8265930982804044,False,((-sin(x_1) - 7758.202372)*(0.000185*cos(sin(x_1) + 7758.202372) - 1.44112899999982) - 11187.562746)*cos(cos(x_0) - 450.353721) - 6.474387,89846,50086,39760,1.793834604480294
105,26,poly_trig,sin(sin(sin(cos(x_0**2 + cos(sin(cos(x_0)))) - cos(sin(x_1*cos(x_1 + cos(x_0)))) + cos(cos(cos(x_1)))))),isalsr,10543,60.0,extrap,0.7,1.2,58.71840200499901,404,513619,0.00010754589233164925,0.991094588649476,0.70611488543742,False,0.134494*x_0**2 - 0.16635428366*x_1 - 0.134494*(-x_1 - 9.349028)*(1.390127*cos(x_0**2) - cos(cos(x_0))) - 0.537137160922,81404,45185,36219,1.8015713179152373
108,30,poly_trig,sin(sin(sin(x_0)) + cos(x_1) - cos(x_1*x_2 + (x_1 + x_2)*(x_2 + cos(cos(x_1)))) + cos(sin(x_2))) + cos(x_1*cos(x_1)),baseline,10842,60.0,extrap,0.7,1.2,58.83899947200007,1928,2482601,0.006373164793136637,0.8894145491101364,0.20831888571962898,False,x_0 + 0.114874958992004*x_2 + cos(x_0 + 4555.93377)*cos(x_1 - 5479.113378) + 1.018783986568451,2482601,2482601,0,1.0
108,30,poly_trig,sin(sin(sin(x_0)) + cos(x_1) - cos(x_1*x_2 + (x_1 + x_2)*(x_2 + cos(cos(x_1)))) + cos(sin(x_2))) + cos(x_1*cos(x_1)),baseline,10843,60.0,extrap,0.7,1.2,58.87022716499996,1948,2390825,0.0054332574047975335,0.9085997651227208,-1.4737588032295519,False,0.498347*x_0 + 0.489948358009*x_1*(-x_1 + x_2*(-x_0 + x_1 + x_2 + 0.549009)) - 0.008398641991*x_1 + 1.76959816742899,2390825,2390825,0,1.0
108,30,poly_trig,sin(sin(sin(x_0)) + cos(x_1) - cos(x_1*x_2 + (x_1 + x_2)*(x_2 + cos(cos(x_1)))) + cos(sin(x_2))) + cos(x_1*cos(x_1)),isalsr,10842,60.0,extrap,0.7,1.2,58.705391264000355,445,345247,0.009172985040610808,0.8408328170308192,0.3803473998000927,False,0.837567*cos(x_0 - cos(cos(x_1**2 - x_1) - 8519.781626) + 9964.875345) + 1.10498,89645,50426,39219,1.7777535398405584
108,30,poly_trig,sin(sin(sin(x_0)) + cos(x_1) - cos(x_1*x_2 + (x_1 + x_2)*(x_2 + cos(cos(x_1)))) + cos(sin(x_2))) + cos(x_1*cos(x_1)),isalsr,10843,60.0,extrap,0.7,1.2,58.72602122399985,448,383442,0.005723918883174388,0.9037101518734085,0.05302056154451085,False,0.520865111424*x_0 + 0.117664*x_2 + 0.117664*(2*x_1 - x_2*sin(x_2) + 0.239905)*(-2*x_1 + x_2*sin(x_2) + x_2 + cos(2*x_1) - 0.239905) + 1.76607368976,90248,50684,39564,1.7806013732144266
